Date,Company,Email,Subject,Status,Details
"2026-03-25T05:48:29.442Z","Hershesons","e7d54b729aaf49ea8b2f80dae22860aa@sentry.zipify.com","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","Four London","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","one thing I noticed on your site","draft_prepared","First screen may rely too heavily on client-side boot"
"2026-03-25T05:48:29.442Z","House of Keune","london@bloomlifestyle.co.uk","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","Larry King","bookings@larrykinghair.com","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","George Vallossian","bookings@georgevallossian.com","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","OREL London","info@orelhairandbeauty.com","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","Josh Wood Colour","help@joshwoodcolour.com","one thing I noticed on your site","draft_prepared","First screen may rely too heavily on client-side boot"
"2026-03-25T05:48:29.442Z","George Northwood","enquiries@georgenorthwood.com","one thing I noticed on your site","draft_prepared","Inquiry path looks less immediate than the competitor"
"2026-03-25T05:48:29.442Z","Neville Hair & Beauty","info@nevillehairandbeauty.net","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","Paul Edmonds","mail@pauledmonds.com","one thing I noticed on your site","draft_prepared","First screen may rely too heavily on client-side boot"
"2026-03-25T05:48:29.442Z","Charlotte Mensah","enquiries@charlottemensah.com","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","Salon64","bookings@salon64.co.uk","one thing I noticed on your site","draft_prepared","Digital experience still has room to feel more immediate"
"2026-03-25T05:48:29.442Z","Gielly Green","booking@giellygreen.co.uk","one thing I noticed on your site","draft_prepared","First screen may rely too heavily on client-side boot"
"2026-03-25T05:48:29.442Z","Arkive","booking@adamreed.london","one thing I noticed on your site","draft_prepared","First screen may rely too heavily on client-side boot"
"2026-03-25T05:48:29.442Z","TEST BUSINESS 2","221263107009setice@gmail.com","one thing I noticed on your site","draft_prepared","First screen may rely too heavily on client-side boot"
